=============================
ROZSZERZENIE / JĘZYK: .PL
=============================
Nazwa: 1+1 International | ID: 1plus1International.pl
Nazwa: 13 Ulica | ID: 13Ulica.pl
Nazwa: 13.tv HD | ID: 13Tv.pl
Nazwa: 2x2 HD | ID: 2x2.pl
Nazwa: 360TuneBox HD | ID: 360TuneBox.pl
Nazwa: 4FUN.TV | ID: 4FunTv.pl
Nazwa: 4Fun Dance | ID: 4FunDance.pl
Nazwa: 4Fun Kids | ID: 4FunKids.pl
Nazwa: ABC 2 | ID: TVPABC2.pl
Nazwa: AMC HD | ID: AMC.pl
Nazwa: AXN Black | ID: AXNBlack.pl
Nazwa: AXN HD | ID: AXN.pl
Nazwa: AXN Spin HD | ID: AXNSpin.pl
Nazwa: AXN White | ID: AXNWhite.pl
Nazwa: ActiveFamily | ID: ActiveFamily.pl
Nazwa: Adult Channel | ID: AdultChannel.pl
Nazwa: Adventure | ID: Adventure.pl
Nazwa: Al Jazeera HD | ID: AlJazeera.pl
Nazwa: Ale Kino! | ID: AleKino.pl
Nazwa: Alfa TVP | ID: AlfaTVP.pl
Nazwa: Andromeda | ID: Andromeda.pl
Nazwa: Animal Planet HD | ID: AnimalPlanet.pl
Nazwa: Antena HD | ID: Antena.pl
Nazwa: Arirang TV | ID: ArirangTv.pl
Nazwa: Arte HD | ID: Arte.pl
Nazwa: BBC CBeebies | ID: BBCCBeebies.pl
Nazwa: BBC Earth | ID: BBCEarth.pl
Nazwa: BBC Fisrt | ID: BBCFirst.pl
Nazwa: BBC Lifestyle | ID: BBCLifestyle.pl
Nazwa: BBC News | ID: BBCNews.pl
Nazwa: BBC-Brit | ID: BBCBrit.pl
Nazwa: Baby TV | ID: BabyTv.pl
Nazwa: Bajka TV | ID: BajkaTV.pl
Nazwa: Belsat TV | ID: BelsatTv.pl
Nazwa: Biznes24 HD | ID: Biznes24.pl
Nazwa: BjgTjme | ID: BjgTjme.rtv.pl
Nazwa: Bloomberg (ang.) | ID: Bloomberg.pl
Nazwa: Blue Hustler | ID: BlueHustler.pl
Nazwa: Bollywood HD | ID: Bollywood.pl
Nazwa: Bonanza | ID: Bonanza.pl
Nazwa: Brazzers TV | ID: BrazzersTv.pl
Nazwa: CANAL+ 1 HD | ID: C+1.pl
Nazwa: CANAL+ 360 HD | ID: C+360.pl
Nazwa: CANAL+ 4K Ultra HD | ID: C+4KUltra.pl
Nazwa: CANAL+ DOKUMENT HD | ID: C+Dokument.pl
Nazwa: CANAL+ DOMO HD | ID: C+Domo.pl
Nazwa: CANAL+ EXTRA 1 | ID: C+Extra1.pl
Nazwa: CANAL+ EXTRA 2 | ID: C+Extra2.pl
Nazwa: CANAL+ EXTRA 3 | ID: C+Extra3.pl
Nazwa: CANAL+ EXTRA 4 | ID: C+Extra4.pl
Nazwa: CANAL+ Film HD | ID: C+Film.pl
Nazwa: CANAL+ KUCHNIA HD | ID: C+Kuchnia.pl
Nazwa: CANAL+ NOW | ID: C+Now.pl
Nazwa: CANAL+ PREMIUM HD | ID: C+Premium.pl
Nazwa: CANAL+ Seriale HD | ID: C+Seriale.pl
Nazwa: CANAL+ Sport 2 HD | ID: C+Sport2.pl
Nazwa: CANAL+ Sport 3 HD | ID: C+Sport3.pl
Nazwa: CANAL+ Sport 4 HD | ID: C+Sport4.pl
Nazwa: CANAL+ Sport 5 HD | ID: C+Sport5.pl
Nazwa: CANAL+ Sport HD | ID: C+Sport.pl
Nazwa: CI Polsat HD | ID: CIPolsat.pl
Nazwa: CNBC | ID: CNBC.pl
Nazwa: CNN | ID: CNN.pl
Nazwa: CTV - DLA CIEBIE TV | ID: CTVDlaCiebieTv.pl
Nazwa: Car City Adventures | ID: CarCityAdventures.rtv.pl
Nazwa: Cartoon-Network | ID: CartoonNetwork.pl
Nazwa: Cartoonito HD | ID: Cartoonito.pl
Nazwa: Chłopaki do wzięcia | ID: ChlopakiDoWziecia.pl
Nazwa: Cinemax HD | ID: Cinemax.pl
Nazwa: Cinemax2 HD | ID: Cinemax2.pl
Nazwa: Classical Harmony | ID: ClassicalHarmony.pl
Nazwa: Clubbing TV | ID: ClubbingTV.pl
Nazwa: Comedy Central Polska | ID: ComedyCentral.pl
Nazwa: Comedy Channel Extra | ID: ComedyChannelExtra.pl
Nazwa: Current Time | ID: CurrentTime.pl
Nazwa: DELUXE MUSIC | ID: DeluxeMusic.pl
Nazwa: DTX HD | ID: TurboXtra.pl
Nazwa: DW | ID: DWEnglish.pl
Nazwa: Da Vinci HD | ID: DaVinci.pl
Nazwa: Daleko od noszy | ID: DalekoOdNoszy.pl
Nazwa: Dami Skarżysko-Kamienna | ID: DamiTv.pl
Nazwa: DayStar | ID: DayStarTV.pl
Nazwa: Defiance | ID: Defiance.pl
Nazwa: Deluxe Lounge | ID: DeluxeLounge.rtv.pl
Nazwa: Didaskalia | ID: DidaskaliaTv.pl
Nazwa: Discovery | ID: Discovery.pl
Nazwa: Discovery Historia | ID: DiscoveryHistoria.pl
Nazwa: Discovery Life | ID: DiscoveryLife.pl
Nazwa: Discovery Science HD | ID: Science.pl
Nazwa: Disney Channel | ID: DisneyChannel.pl
Nazwa: Disney Jr | ID: DisneyJr.pl
Nazwa: Disney XD | ID: DisneyXD.pl
Nazwa: Dlaczego ja? | ID: DlaczegoJa.pl
Nazwa: DocuBox HD | ID: Docubox.pl
Nazwa: Dolce Vita TV HD | ID: DolceVitaTV.pl
Nazwa: Dorcel TV | ID: DorcelTv.pl
Nazwa: Dorcel XXX | ID: DorcelXXX.pl
Nazwa: Dr. Quinn | ID: DrQuinn.pl
Nazwa: Drużyna A | ID: DruzynaA.pl
Nazwa: DuckTV HD | ID: DuckTv.pl
Nazwa: DuckTV plus | ID: DuckTvPlus.pl
Nazwa: E! Entertainment | ID: E!.pl
Nazwa: E-SPORT HD | ID: E-Sport.pl
Nazwa: EWTN Polska | ID: EWTNPolska.pl
Nazwa: Echo 24 | ID: Echo24.pl
Nazwa: Eleven Sports 1 | ID: ElevenSports1.pl
Nazwa: Eleven Sports 1 4K | ID: ElevenSports1_4K.pl
Nazwa: Eleven Sports 2 | ID: ElevenSports2.pl
Nazwa: Eleven Sports 3 | ID: ElevenSports3.pl
Nazwa: Eleven Sports 4 | ID: ElevenSports4.pl
Nazwa: English Club TV HD | ID: EnglishClubTv.pl
Nazwa: Epic Drama HD | ID: EpicDrama.pl
Nazwa: Eska Rock TV | ID: EskaRockTv.pl
Nazwa: Eska TV Extra HD | ID: EskaTvExtra.pl
Nazwa: Eska TV HD | ID: EskaTv.pl
Nazwa: Eureka | ID: Eureka.pl
Nazwa: Eurochannel | ID: Eurochannel.pl
Nazwa: Euronews HD | ID: Euronews.pl
Nazwa: Euronews PL | ID: EuronewsPL.pl
Nazwa: Eurosport 1 HD | ID: Eurosport1.pl
Nazwa: Eurosport 2 HD | ID: Eurosport2.pl
Nazwa: Eurosport 3 | ID: Eurosport3.pl
Nazwa: Eurosport 4 | ID: Eurosport4.pl
Nazwa: Ewa gotuje | ID: EwaGotuje.pl
Nazwa: Extreme Sports | ID: ExtremeSports.pl
Nazwa: FILMAX Cafe | ID: FilmaxCafe.pl
Nazwa: FX Comedy HD | ID: FxComedy.pl
Nazwa: FX HD | ID: Fx.pl
Nazwa: Fashion TV HD | ID: FashionTv.pl
Nazwa: FashionBox HD | ID: FashionBox.pl
Nazwa: FashionTV UHD | ID: FashionTV4K.pl
Nazwa: Fast And FunBox HD | ID: FastAndFunBox.pl
Nazwa: FighTime.pl | ID: FighTime.pl
Nazwa: FightBox | ID: FightBox.pl
Nazwa: FightKlub | ID: FightKlub.pl
Nazwa: FilmBox Action | ID: FilmboxAction.pl
Nazwa: FilmBox Arthouse HD | ID: FilmboxArthouse.pl
Nazwa: FilmBox Extra HD | ID: FilmboxExtra.pl
Nazwa: FilmBox Family | ID: FilmboxFamily.pl
Nazwa: FilmBox Premium HD | ID: FilmboxPremium.pl
Nazwa: Filmax | ID: Filmax.pl
Nazwa: Fokus TV HD | ID: FokusTv.pl
Nazwa: Food Network HD | ID: FoodNetwork.pl
Nazwa: France 2 | ID: France2.pl
Nazwa: France 24 HD | ID: France24_FR.pl
Nazwa: France 24 HD - EN | ID: France24_EN.pl
Nazwa: France 3 | ID: France3.pl
Nazwa: France 4 | ID: France4.pl
Nazwa: France 5 | ID: France5.pl
Nazwa: Freedom | ID: Freedom.pl
Nazwa: FunBox UHD | ID: FunBox4K.pl
Nazwa: Gametoon HD | ID: Gametoon.pl
Nazwa: Ginx eSports TV HD | ID: GinxEsportsTv.pl
Nazwa: Glina TV | ID: GlinaTv.pl
Nazwa: Gliniarze | ID: Gliniarze.pl
Nazwa: God TV | ID: GodTv.pl
Nazwa: Golf Zone | ID: GolfZone.pl
Nazwa: Grjngo - Westerny | ID: GrjngoWesterny.rtv.pl
Nazwa: HBO HD | ID: HBO.pl
Nazwa: HBO2 HD | ID: HBO2.pl
Nazwa: HBO3 HD | ID: HBO3.pl
Nazwa: HGTV | ID: HGTV.pl
Nazwa: HISTORY | ID: History.pl
Nazwa: HISTORY2 HD | ID: History2.pl
Nazwa: HOME 4K | ID: Home4K.pl
Nazwa: HOME TV HD | ID: HomeTv.pl
Nazwa: Hustler HD | ID: Hustler.pl
Nazwa: ID HD | ID: ID.pl
Nazwa: INULTRA | ID: InUltra.pl
Nazwa: JAZZ HD | ID: Jazz.pl
Nazwa: JUNIOR MUSIC HD | ID: JuniorMusic.pl
Nazwa: Junior Channel | ID: JuniorChannel.pl
Nazwa: KBS World HD | ID: KBSWorld.pl
Nazwa: Kabaret TV | ID: KabaretTV.pl
Nazwa: Kabarety | ID: Kabarety.pl
Nazwa: Kapitan Bomba | ID: KapitanBomba.pl
Nazwa: Karuzela Śmiechu | ID: KaruzelaSmiechu.pl
Nazwa: Kino Polska | ID: KinoPolska.pl
Nazwa: Kino Polska Muzyka | ID: KinoPolskaMuzyka.pl
Nazwa: Kino TV HD | ID: KinoTv.pl
Nazwa: Komedie | ID: Komedie.pl
Nazwa: LRT Lituanica | ID: LRTLituanica.pl
Nazwa: LangLab | ID: LangLab.pl
Nazwa: LingoToons | ID: LingoToons.pl
Nazwa: Love Nature 4K | ID: LoveNature4K.pl
Nazwa: Lubuska TV Horyzont | ID: LubuskaTVHoryzont.pl
Nazwa: MEZZO | ID: Mezzo.pl
Nazwa: MIXTAPE HD | ID: MixTape.pl
Nazwa: MTV Germany | ID: MTVGermany.pl
Nazwa: MTV Polska HD | ID: MTV.pl
Nazwa: MacGyver | ID: MacGyver.pl
Nazwa: Magnum | ID: Magnum.pl
Nazwa: Mango | ID: Mango.pl
Nazwa: Metro | ID: Metro.pl
Nazwa: Mezzo Live HD | ID: MezzoLive.pl
Nazwa: MiniMini+ HD | ID: MiniMini.pl
